DATE,WPS3721,UNRATE,FEDFUNDS,TRFVOLUSM227NFWA
2016-01-01,73.9,4.8,0.34,239679
2016-02-01,73.6,4.9,0.38,223011
2016-03-01,73.3,5.0,0.36,265147
2016-04-01,72.7,5.1,0.37,269653
2016-05-01,72.2,4.8,0.37,277972
2016-06-01,72.1,4.9,0.38,276991
2016-07-01,71.8,4.8,0.39,285160
2016-08-01,70.7,4.9,0.40,279213
2016-09-01,70.1,5.0,0.40,262039
2016-10-01,70.0,4.9,0.40,275610
2016-11-01,69.4,4.7,0.41,255154
2016-12-01,69.1,4.7,0.54,264778
2017-01-01,68.6,4.7,0.65,242600.0
2017-02-01,67.8,4.6,0.66,225644.0
2017-03-01,67.6,4.4,0.79,268343.0
2017-04-01,67.4,4.4,0.90,272864.0
2017-05-01,66.6,4.4,0.91,281264.0
2017-06-01,66.2,4.3,1.04,280290.0
2017-07-01,65.7,4.3,1.15,288566.0
2017-08-01,65.1,4.4,1.16,282558.0
2017-09-01,65.1,4.3,1.15,265212.0
2017-10-01,65.0,4.2,1.15,278888.0
2017-11-01,64.8,4.2,1.16,258159.0
2017-12-01,64.7,4.1,1.30,267958.0
2018-01-01,64.3,4.0,1.41,244736.0
2018-02-01,63.7,4.1,1.42,227759.0
2018-03-01,63.3,4.0,1.51,270705.0
2018-04-01,63.4,4.0,1.69,275127.0
2018-05-01,63.8,3.8,1.70,283713.0
2018-06-01,63.6,4.0,1.82,282648.0
2018-07-01,63.5,3.8,1.91,290989.0
2018-08-01,64.0,3.8,1.91,284989.0
2018-09-01,63.9,3.7,1.95,267434.0
2018-10-01,63.7,3.8,2.19,281382.0
2018-11-01,63.7,3.8,2.20,260473.0
2018-12-01,63.5,3.9,2.27,270370.0
2019-01-01,63.3,4.0,2.40,248927.0
2019-02-01,63.9,3.8,2.40,231791.0
2019-03-01,63.8,3.8,2.41,272379.0
2019-04-01,63.8,3.7,2.42,273413.0
2019-05-01,63.9,3.6,2.39,289711.0
2019-06-01,63.9,3.6,2.38,281359.0
2019-07-01,63.9,3.7,2.40,291520.0
2019-08-01,63.7,3.6,2.13,293308.0
2019-09-01,63.7,3.5,2.04,273319.0
2019-10-01,63.6,3.6,1.83,283961.0
2019-11-01,63.5,3.6,1.55,260326.0
2019-12-01,63.6,3.6,1.55,261757.0
2020-01-01,63.6,3.6,1.55,260847.0
2020-02-01,64.2,3.5,1.58,242695.0
2020-03-01,64.0,4.4,0.65,226638.0
2020-04-01,64.0,14.8,0.05,167617.0
2020-05-01,62.5,13.2,0.05,221006.0
2020-06-01,62.6,11.0,0.08,250330.0
2020-07-01,62.7,10.2,0.09,265550.0
2020-08-01,63.0,8.4,0.10,265060.0
2020-09-01,63.0,7.8,0.09,257531.0
2020-10-01,63.0,6.8,0.09,266596.0
2020-11-01,63.3,6.7,0.09,238300.0
2020-12-01,63.2,6.7,0.09,241451.0
2021-01-01,63.2,6.4,0.09,224959.0
2021-02-01,63.3,6.2,0.08,207160.0
2021-03-01,63.3,6.1,0.07,262065.0
2021-04-01,63.3,6.1,0.07,252218.0
2021-05-01,63.3,5.8,0.06,276639.0
2021-06-01,63.3,5.9,0.08,279209.0
2021-07-01,63.399,5.4,0.10,288443.0
2021-08-01,63.117,5.1,0.09,279596.0
2021-09-01,63.152,4.7,0.08,270461.0
2021-10-01,63.214,4.5,0.08,277877.0
2021-11-01,63.345,4.1,0.08,260433.0
2021-12-01,63.375,3.9,0.08,261028.0
2022-01-01,63.395,4.0,0.08,236055.0
2022-02-01,63.564,3.8,0.08,231137.0
2022-03-01,63.611,3.6,0.20,271869.0
2022-04-01,63.631,3.7,0.33,258001.0
2022-05-01,63.762,3.6,0.77,282678.0
2022-06-01,63.862,3.6,1.21,277059.0
2022-07-01,63.931,3.5,1.68,281976.0
2022-08-01,64.310,3.6,2.33,284347.0
2022-09-01,64.351,3.5,2.56,275638.0
2022-10-01,64.410,3.6,3.08,280673.0
2022-11-01,64.409,3.6,3.78,258728.0
2022-12-01,64.462,3.5,4.10,258030.0
2023-01-01,64.495,3.4,4.33,249207.0
2023-02-01,64.606,3.6,4.57,235447.0
2023-03-01,64.660,3.5,4.65,273712.0
2023-04-01,64.693,3.4,4.83,258225.0
2023-05-01,64.959,3.7,5.06,289640.0
2023-06-01,65.015,3.6,5.08,285605.0
2023-07-01,65.082,3.5,5.12,289796.0
2023-08-01,64.902,3.8,5.33,290916.0
2023-09-01,64.954,3.8,5.33,278035.0
2023-10-01,65.014,3.8,5.33,284049.0
2023-11-01,65.134,3.7,5.33,265139.0
2023-12-01,65.203,3.7,5.33,263587.0
2024-01-01,65.235,3.7,5.33,246992.0
2024-02-01,65.255,3.9,5.33,240194.0
2024-03-01,65.307,3.8,5.33,275524.0
2024-04-01,65.340,3.9,5.33,263901.0
2024-05-01,65.079,4.0,5.33,293411.0
2024-06-01,.,4.1,5.33,.
